name,artists,year,country,label,have,total.want,total.averageValue,format,price,info3,info2,info4,info5,info6,info
"
                
                                            
        
            The Last Shadow Puppets
                
                ‎–
                
                                            Everything You've Come To Expect
                                    
            ",The Last Shadow Puppets,2016,Europe,"Domino, Domino",2592,486,4.23,"(LP, Album, 180 + 7"", Yel + Dlx, Ltd)",$4.99,Rock,2016,NA,NA,NA,Pop Rock
"
                
                                            
        
            Black Merlin
                
                ‎–
                
                                            Hipnotik Tradisi
                                    
            ",Black Merlin,2016,Indonesia,Island Of The Gods,189,399,4.9,"(2xLP, Album, MP, RP + LP, Cor)",$45.23,Island Of The Gods,Vinyl,"
                Indonesia
            ","
                23 Jun 2016
            ",Electronic,Island Explorer Series
"
                
                                            
        
            András*
                
                ‎–
                
                                            Untitled
                                    
            ",András,NA,NA,NA,550,396,4.51,NA,$8.51,Superconscious Records,"
                Australia
            ","
                20 Feb 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Future Beat Alliance
                
                ‎–
                
                                            Hidden Emotion
                                    
            ",Future Beat Alliance,1997,UK,Void Records,126,398,4.7,"(2x12"", Album, TP, W/Lbl)",$22.09,Subwax Excursions,"
                Spain
            ","
                14 Nov 2016
            ",Electronic,Electro,Vinyl
"
                
                                            
        
            Shinichi Atobe
                
                ‎–
                
                                            World
                                    
            ",Shinichi Atobe,2016,UK,DDS,347,406,4.18,"(LP, Album, Ltd, Red)",$15.63,Electronic,2016,NA,NA,NA,House
"
                
                                            
        
            James Horner
                
                ‎–
                
                                            Aliens (Original Motion Picture Soundtrack)
                                    
            ",James Horner,1986,US,Varèse Sarabande,22,392,4.83,(LP),NA,Mondo (3),"
                US
            ","
                26 Apr 2016
            ",Stage & Screen,Score,Vinyl
"
                
                                            
        
            Anderson .Paak
                
                ‎–
                
                                            Malibu
                                    
            ",Anderson .Paak,2016,US,OBE,691,399,4.84,"(CD, Album, Dig)",$24.83,OBE,"
                Europe
            ","
                Jul 2016
            ",Hip Hop,Disco,Vinyl
"
                
                                            
        
            Minimal Vision
                
                ‎–
                
                                            Minimal Vision (1992-2015)
                                    
            ",Minimal Vision,1992,UK,Vibraphone Records,362,391,4.89,"(12"")",$11.80,Vibraphone Records,"
                UK
            ","
                Feb 2016
            ",Electronic,Deep House,Vinyl
"
                
                                            
        
            Ahmed Fakroun
                
                ‎–
                
                                            Mots D'Amour
                                    
            ",Ahmed Fakroun,1983,France,Celluloid,292,395,4.26,"(LP, Album)",$18.99,PMG (3),"
                Austria
            ","
                12 Apr 2016
            ",Electronic,Synth-pop,Vinyl
"
                
                                            
        
            Oathbreaker
                
                ‎–
                
                                            Rheia
                                    
            ",Oathbreaker,2016,US,Deathwish,864,399,4.69,"(CD, Album)",$6.14,Rock,2016,Clear / Transparent Sea Blue Split (Oathbreaker Tour Exclusive),NA,NA,Hardcore
"
                
                                            
        
            Mall Grab
                
                ‎–
                
                                            Menace II Society
                                    
            ",Mall Grab,NA,NA,NA,479,392,4.5,NA,$12.56,Unknown To The Unknown,"
                UK
            ","
                2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Willow (18)
                
                ‎–
                
                                            Workshop 23
                                    
            ",Willow (18),NA,NA,NA,400,397,4.66,NA,$13.06,Workshop,"
                Germany
            ","
                01 Sep 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Cult Of Luna /                     
        
            Julie Christmas
                
                ‎–
                
                                            Mariner
                                    
            ",Cult Of Luna,2016,Norway,Indie Recordings,1275,428,4.61,"(CD, Album)",$9.05,Rock,2016,NA,NA,NA,Sludge Metal
"
                
                                            
        
            Anthrax
                
                ‎–
                
                                            For All Kings
                                    
            ",Anthrax,2016,US,Megaforce Records,1831,394,4.21,"(CD, Album, Dig)",$3.94,Rock,2016,NA,NA,NA,Thrash
"
                
                                            
        
            Domenico Rosa
                
                ‎–
                
                                            Where Time Has Stopped Ep
                                    
            ",Domenico Rosa,NA,NA,NA,172,390,4.76,NA,$23.41,Croisière Musique,"
                France
            ","
                Jan 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Frak
                
                ‎–
                
                                            Sudden Haircut
                                    
            ",Frak,NA,NA,NA,315,386,4.72,NA,$17.19,Dark Entries,"
                US
            ","
                23 Feb 2016
            ",Electronic,Acid House,Vinyl
"
                
                                            
        
            Kaffe Crème
                
                ‎–
                
                                            Kaffe Crème EP
                                    
            ",Kaffe Crème,NA,NA,NA,118,393,4.78,NA,NA,Moonrise Hill Material,"
                France
            ","
                05 Jan 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Various
                
                ‎–
                
                                            Nation House: Chalutier Du Havre
                                    
            ",Various,NA,NA,NA,344,393,4.77,NA,$21.29,La Chinerie,Vinyl,"
                France
            ","
                08 Feb 2016
            ",Electronic,Nation House
"
                
                                            
        
            Skee Mask
                
                ‎–
                
                                            Shred
                                    
            ",Skee Mask,2016,Germany,Ilian Tape,297,390,4.86,"(12xFile, AAC, Album, VBR)",$25.49,Ilian Tape,"
                Germany
            ","
                01 Feb 2016
            ",Electronic,Techno,Vinyl
"
                
                                            
        
            Gorillaz
                
                ‎–
                
                                            Demon Days
                                    
            ",Gorillaz,2005,UK,Parlophone,380,393,4.7,"(2xLP, Album, Ltd)",$31.40,Not On Label (Gorillaz),"
                Europe
            ","
                2016
            ",Electronic,Leftfield,Vinyl
"
                
                                            
        
            The Pilotwings
                
                ‎–
                
                                            Les Portes Du Brionnais
                                    
            ",The Pilotwings,2016,France,Brothers From Different Mothers,280,391,4.93,"(11xFile, MP3, Album, 320)",$21.23,Brothers From Different Mothers,"
                France
            ","
                17 Oct 2016
            ",Electronic,Deep House,Vinyl
"
                
                                            
        
            Mézigue
                
                ‎–
                
                                            Mangez Moi
                                    
            ",Mézigue,NA,NA,NA,271,393,4.75,NA,NA,D.KO Records,"
                France
            ","
                Jun 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            DJ Shadow
                
                ‎–
                
                                            The Mountain Will Fall
                                    
            ",DJ Shadow,2016,US,"Mass Appeal, Liquid Amber",1295,402,4.07,"(CD, Album)",$9.05,Electronic,2016,NA,NA,NA,Bass Music
"
                
                                            
        
            Webster Station
                
                ‎–
                
                                            Are You For Real
                                    
            ",Webster Station,NA,NA,NA,114,384,4.89,NA,$79.82,Family Groove Records,"
                US
            ","
                Apr 2016
            ",Funk / Soul,Boogie,Vinyl
"
                
                                            
        
            DJ Wave (6)
                
                ‎–
                
                                            Above The Clouds
                                    
            ",DJ Wave (6),NA,NA,NA,454,388,4.59,NA,$10.64,Lobster Theremin,"
                UK
            ","
                16 Feb 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Jayda G
                
                ‎–
                
                                            Jaydaisms
                                    
            ",Jayda G,NA,NA,NA,337,387,4.62,NA,$12.00,Freakout Cult,"
                Norway
            ","
                Feb 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Suzanne Menzel
                
                ‎–
                
                                            Goodbyes And Beginnings
                                    
            ",Suzanne Menzel,1981,Denmark,Not On Label,3,384,5.0,"(LP, Album)",NA,Frederiksberg Records,"
                US
            ","
                2016
            ",Electronic,Ambient,Vinyl
"
                
                                            
        
            George Fields (2)
                
                ‎–
                
                                            Beyond Realm
                                    
            ",George Fields (2),2016,UK,Under The Sun Records UTS,201,405,4.92,"(2xLP, Album)",$26.61,Hip Hop,2016,NA,NA,NA,Instrumental
"
                
                                            
        
            Burial
                
                ‎–
                
                                            Young Death / Nightmarket
                                    
            ",Burial,2016,UK,Hyperdub,902,369,4.17,"(12"")",$6.13,Electronic,2016,NA,NA,NA,Broken Beat
"
                
                                            
        
            Unknown Artist
                
                ‎–
                
                                            What A Day 
                                    
            ",Unknown Artist,NA,NA,NA,333,381,4.73,NA,$9.20,Digwah,"
                UK
            ","
                Jul 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Various
                
                ‎–
                
                                            Doing It In Lagos (Boogie, Pop & Disco In 1980s Nigeria)
                                    
            ",Various,2016,UK,Soundway,476,398,4.96,"(2xCD, Comp)",$47.89,Soundway,"
                UK
            ","
                09 Dec 2016
            ",Funk / Soul,African,Vinyl
"
                
                                            
        
            James Blake
                
                ‎–
                
                                            The Colour In Anything
                                    
            ",James Blake,2016,Europe,Polydor,1029,399,4.31,"(CD, Album)",$7.37,Electronic,2016,NA,NA,NA,Leftfield
"
                
                                            
        
            The Mystic Jungle Tribe
                
                ‎–
                
                                            Qvisisana
                                    
            ",The Mystic Jungle Tribe,NA,NA,NA,346,383,4.81,NA,$12.77,Early Sounds Recordings,"
                Italy
            ","
                2016
            ",Electronic,Disco,Vinyl
"
                
                                            
        
            Unknown Artist
                
                ‎–
                
                                            Decent International 01
                                    
            ",Unknown Artist,NA,NA,NA,299,382,4.82,NA,$15.96,Decent International,"
                UK & Ireland
            ","
                2016
            ",Electronic,African,Vinyl
"
                
                                            
        
            Leron Carson
                
                ‎–
                
                                            Lemonlime
                                    
            ",Leron Carson,NA,NA,NA,325,381,4.62,NA,$12.99,Sound Signature,"
                US
            ","
                21 Mar 2016
            ",Electronic,Deep House,Vinyl
"
                
                                            
        
            Various
                
                ‎–
                
                                            Digital Zandoli 
                                    
            ",Various,2016,France,Heavenly Sweetness,441,473,4.86,"(CD, Comp)",$14.90,Electronic,2016,NA,NA,NA,Disco
"
                
                                            
        
            Michael Kiwanuka
                
                ‎–
                
                                            Love & Hate
                                    
            ",Michael Kiwanuka,2016,UK & Europe,Polydor,1304,381,4.63,"(2xLP, Album)",$7.45,Jazz,2016,NA,NA,NA,Soul
"
                
                                            
        
            Radiohead
                
                ‎–
                
                                            A Moon Shaped Pool
                                    
            ",Radiohead,2016,UK & Europe,XL Recordings,3918,374,4.51,"(CD, Album)",$19.99,XL Recordings,"
                USA, Canada & Europe
            ","
                17 Jun 2016
            ",Electronic,Art Rock,Vinyl
"
                
                                            
        
            Drake
                
                ‎–
                
                                            Views
                                    
            ",Drake,2016,US,"Republic Records, Cash Money Records, Young Money Entertainment",630,529,3.79,"(CD, Album)",$7.54,Hip Hop,2016,NA,NA,NA,NA
"
                
                                            
        
            A² (4)
                
                ‎–
                
                                            Groovepressure 13
                                    
            ",A² (4),NA,NA,NA,330,375,4.9,NA,$18.09,Groovepressure,"
                UK
            ","
                25 Apr 2016
            ",Electronic,Electro,Vinyl
"
                
                                            
        
            Various
                
                ‎–
                
                                            Waxtefacts 001
                                    
            ",Various,NA,NA,NA,209,374,4.78,NA,$21.29,Waxtefacts,"
                Denmark
            ","
                23 Feb 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Arthur Verocai
                
                ‎–
                
                                            Arthur Verocai
                                    
            ",Arthur Verocai,1972,Brazil,Continental (3),485,370,4.84,"(LP, Album)",$20.00,Mr Bongo,"
                UK
            ","
                01 Jul 2016
            ",Jazz,Jazz-Funk,Vinyl
"
                
                                            
        
            Chance The Rapper
                
                ‎–
                
                                            Coloring Book
                                    
            ",Chance The Rapper,2016,US,Not On Label,220,377,4.61,"(14xFile, MP3, 320)",$40.43,Not On Label (Chance The Rapper),"
                Czech Republic
            ","
                Aug 2016
            ",Hip Hop,NA,Vinyl
"
                
                                            
        
            Ramones
                
                ‎–
                
                                            Judy Is A Punk (Lost 1975 Demo Versions)
                                    
            ",Ramones,2016,US,Norton Records (2),193,409,4.81,"(7"", Ltd, Blu)",$21.99,Rock,2016,NA,NA,NA,Punk
"
                
                                            
        
            Dorisburg
                
                ‎–
                
                                            Time Stretch Totem
                                    
            ",Dorisburg,NA,NA,NA,219,372,4.78,NA,$15.96,Aniara Recordings,"
                Sweden
            ","
                26 Jan 2016
            ",Electronic,Deep House,Vinyl
"
                
                                            
        
            Aleke Kanonu
                
                ‎–
                
                                            Aleke
                                    
            ",Aleke Kanonu,1980,US,Arcana (7),314,372,4.65,"(LP, Album)",$19.16,PMG (3),"
                Austria
            ","
                15 Jul 2016
            ",Jazz,African,Vinyl
"
                
                                            
        
            DJ Dove
                
                ‎–
                
                                            God 'O Mighty EP
                                    
            ",DJ Dove,1994,US,Deep Groove Records (7),335,370,4.84,"(12"", EP)",$11.04,Sound Metaphors Records,"
                Germany
            ","
                Sep 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            DJ Slyngshot
                
                ‎–
                
                                            Ain't Got No Time
                                    
            ",DJ Slyngshot,NA,NA,NA,257,370,4.77,NA,$12.77,Place No Blame,"
                UK
            ","
                16 Mar 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            A² (4)
                
                ‎–
                
                                            Positive Tones
                                    
            ",A² (4),1998,UK,An Alien Recordings,201,370,4.94,"(12"")",$37.25,An Alien Recordings,"
                UK
            ","
                29 Feb 2016
            ",Electronic,Electro,Vinyl
"
                
                                            
        
            Various
                
                ‎–
                
                                            mliu16
                                    
            ",Various,NA,NA,NA,581,370,4.72,NA,$10.00,My Love Is Underground,"
                France
            ","
                26 Sep 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Eri Ohno
                
                ‎–
                
                                            Skyfire / Live Hard, Live Free
                                    
            ",Eri Ohno,NA,NA,NA,214,368,4.75,NA,NA,Rush Hour Recordings,Vinyl,"
                Netherlands
            ","
                02 May 2016
            ",Jazz,Rush Hour Store Japan
"
                
                                            
        
            Parquet Courts
                
                ‎–
                
                                            Human Performance
                                    
            ",Parquet Courts,2016,UK & US,Rough Trade,1714,472,4.47,"(LP, Album, Dlx, Num, Sil)",$5.00,Rock,2016,NA,NA,NA,Punk
"
                
                                            
        
            Levon Vincent
                
                ‎–
                
                                            NS-12
                                    
            ",Levon Vincent,2016,US,Novel Sound,498,364,4.23,"(12"", Ltd, Red)",$12.24,Novel Sound,"
                US
            ","
                31 May 2016
            ",Electronic,Techno,Vinyl
"
                
                                            
        
            Burial
                
                ‎–
                
                                            Untrue
                                    
            ",Burial,2007,UK,Hyperdub,592,370,4.78,"(2x12"", Album)",$17.79,Hyperdub,"
                UK
            ","
                2016
            ",Electronic,Abstract,Vinyl
"
                
                                            
        
            Convextion
                
                ‎–
                
                                            2845
                                    
            ",Convextion,2016,Germany,a.r.t.less,65,367,4.93,"(2x12"", Album)",$158.58,a.r.t.less,"
                Germany
            ","
                Aug 2016
            ",Electronic,Techno,Vinyl
"
                
                                            
        
            The White Stripes
                
                ‎–
                
                                            The Complete John Peel Sessions
                                    
            ",The White Stripes,NA,NA,NA,2325,365,4.54,NA,$27.00,Third Man Records,"
                US
            ","
                16 Apr 2016
            ",Rock,Indie Rock,Vinyl
"
                
                                            
        
            Diamond Jackson
                
                ‎–
                
                                            Untitled
                                    
            ",Diamond Jackson,NA,NA,NA,204,360,4.73,NA,$19.15,Arcane (5),"
                US
            ","
                2016
            ",Electronic,Deep House,Vinyl
"
                
                                            
        
            Sturgill Simpson
                
                ‎–
                
                                            A Sailor's Guide To Earth
                                    
            ",Sturgill Simpson,2016,USA & Canada,Atlantic,2651,410,4.42,"(LP, Album, Blu + CD, Album + Ltd)",$8.99,"Folk, World, & Country",2016,NA,NA,NA,Country
"
                
                                            
        
            David Bowie
                
                ‎–
                
                                            Hunky Dory
                                    
            ",David Bowie,1971,UK,"RCA Victor, RCA Victor",2857,362,4.68,"(LP, Album, Lam)",$17.03,Parlophone,"
                UK, Europe & US
            ","
                26 Feb 2016
            ",Rock,Glam,Vinyl
"
                
                                            
        
            Ondo Fudd
                
                ‎–
                
                                            Blue Dot
                                    
            ",Ondo Fudd,NA,NA,NA,390,361,4.77,NA,$8.56,The Trilogy Tapes,"
                UK
            ","
                Mar 2016
            ",Electronic,Techno,Vinyl
"
                
                                            
        
            Radiohead
                
                ‎–
                
                                            A Moon Shaped Pool
                                    
            ",Radiohead,2016,UK & Europe,XL Recordings,1842,362,4.68,"(CD, Album)",$25.00,XL Recordings,"
                UK, Europe & US
            ","
                17 Jun 2016
            ",Electronic,Art Rock,Vinyl
"
                
                                            
        
            Rainforest Spiritual Enslavement
                
                ‎–
                
                                            Green Graves
                                    
            ",Rainforest Spiritual Enslavement,2016,UK,Hospital Productions,214,468,4.53,"(3xLP, Ltd)",$106.43,Electronic,2016,NA,NA,NA,Industrial
